id,sim,decision,correct,lookup_us
808,0.402707,MISS,,12101
809,0.966607,HIT,true,11301
810,0.467616,MISS,,11439
811,0.408107,MISS,,13988
812,0.370262,MISS,,13930
813,0.573289,MISS,,13012
814,0.348724,MISS,,11087
815,0.506544,MISS,,12156
816,0.703457,MISS,,13622
817,0.315441,MISS,,14584
818,0.605776,MISS,,14226
819,0.436683,MISS,,14848
820,0.903835,HIT,true,11878
821,0.951734,HIT,true,11326
822,0.377097,MISS,,11425
823,0.467066,MISS,,12454
824,0.396188,MISS,,12177
825,0.456496,MISS,,12934
826,0.723170,MISS,,11309
827,0.333441,MISS,,11853
828,0.412139,MISS,,11614
829,0.892951,HIT,true,11516
830,0.641450,MISS,,11664
831,0.448340,MISS,,12418
832,0.381617,MISS,,12471
833,0.364160,MISS,,11416
834,0.467613,MISS,,13786
835,0.585240,MISS,,12095
836,0.529004,MISS,,11548
837,0.386839,MISS,,11265
838,0.445389,MISS,,12498
839,0.495807,MISS,,12189
840,0.751264,MISS,,11056
841,0.505864,MISS,,11323
842,0.422181,MISS,,11759
843,0.416315,MISS,,11178
844,0.464380,MISS,,12852
845,0.361790,MISS,,12464
846,0.313756,MISS,,13552
847,0.336591,MISS,,11909
848,0.935095,HIT,true,12098
849,0.453932,MISS,,11228
850,0.416739,MISS,,11196
851,0.439676,MISS,,11677
852,0.405589,MISS,,11288
853,0.510110,MISS,,11902
854,0.689278,MISS,,11129
855,0.776350,MISS,,11571
856,0.306308,MISS,,12333
857,0.335756,MISS,,11540
858,0.671109,MISS,,11272
859,0.634022,MISS,,12476
860,0.459866,MISS,,11922
861,0.358550,MISS,,11314
862,0.698783,MISS,,11161
863,0.735859,MISS,,11102
864,0.455479,MISS,,11601
865,0.440198,MISS,,11143
866,0.586854,MISS,,11078
867,0.410787,MISS,,11796
868,0.457821,MISS,,11767
869,0.493825,MISS,,12693
870,0.360109,MISS,,11236
871,0.399785,MISS,,11489
872,0.455800,MISS,,11847
873,0.401428,MISS,,11249
874,0.667016,MISS,,12033
875,0.608633,MISS,,11222
876,0.479908,MISS,,11044
877,0.763121,MISS,,11734
878,0.474514,MISS,,11431
879,0.324522,MISS,,12337
880,0.262092,MISS,,12012
881,0.652582,MISS,,12321
882,0.509759,MISS,,11090
883,0.412528,MISS,,11262
884,0.397764,MISS,,11431
885,0.560662,MISS,,11159
886,0.447038,MISS,,11159
887,0.789006,MISS,,11471
888,0.448357,MISS,,11782
889,0.316326,MISS,,11723
890,0.452182,MISS,,11158
891,0.427972,MISS,,12591
892,0.311973,MISS,,11650
893,0.477926,MISS,,11769
894,0.817398,MISS,,11225
895,0.609818,MISS,,11837
896,0.383513,MISS,,11277
897,0.910963,HIT,true,11775
898,0.525718,MISS,,11438
899,0.325667,MISS,,11856
900,0.421273,MISS,,11433
901,0.514534,MISS,,11174
902,0.372805,MISS,,13551
903,0.745570,MISS,,12004
904,0.506884,MISS,,12121
905,0.492010,MISS,,11484
906,0.346317,MISS,,11940
907,0.507115,MISS,,11299
908,0.558748,MISS,,11050
909,0.433444,MISS,,11923
910,0.447891,MISS,,11847
911,0.590367,MISS,,11196
912,0.379755,MISS,,11263
913,0.588283,MISS,,11123
914,0.445167,MISS,,12419
915,0.886287,HIT,true,11805
916,0.317093,MISS,,11981
917,0.237380,MISS,,11414
918,0.463831,MISS,,11246
919,0.376188,MISS,,11252
920,0.619421,MISS,,11147
921,0.442909,MISS,,11494
922,0.478455,MISS,,11631
923,0.415004,MISS,,11943
924,0.518272,MISS,,11122
925,0.878542,HIT,true,12291
926,0.627885,MISS,,12131
