query_index,class_id,best_same,best_cross,nn_sim,nn_same_class
17130,27357,0.979379,0.565515,0.979379,true
17140,19603,0.912499,0.540587,0.912499,true
17150,19489,0.991381,0.808698,0.991381,true
17160,1699,0.934490,0.766900,0.934490,true
17170,7392,0.851369,0.486347,0.851369,true
17180,56431,0.762753,0.607316,0.762753,true
17190,56669,0.872589,0.786519,0.872589,true
17200,7352,0.895659,0.618475,0.895659,true
17210,20822,0.915161,0.664492,0.915161,true
17220,43724,0.901666,0.610463,0.901666,true
17230,14117,0.946659,0.441186,0.946659,true
17240,690,0.875002,0.578345,0.875002,true
17250,14383,0.949279,0.628785,0.949279,true
17260,40587,0.976393,0.779650,0.976393,true
17270,5268,0.908180,0.456881,0.908180,true
17280,44344,0.995807,0.609129,0.995807,true
17290,18087,0.777023,0.627500,0.777023,true
17300,28229,0.900190,0.693862,0.900190,true
17310,8531,0.897302,0.689553,0.897302,true
17320,8428,0.995670,0.561951,0.995670,true
17330,40382,0.782893,0.634546,0.782893,true
17340,10993,0.921939,0.468415,0.921939,true
17350,35295,0.978817,0.639749,0.978817,true
17360,11448,0.886396,0.711874,0.886396,true
17370,50161,0.986167,0.682236,0.986167,true
17380,6105,0.975838,0.644055,0.975838,true
17390,12292,0.971581,0.740924,0.971581,true
17400,28798,0.806084,0.606856,0.806084,true
17410,6727,0.947732,0.781708,0.947732,true
17420,27472,0.912923,0.782760,0.912923,true
17430,35835,0.957525,0.650294,0.957525,true
17440,51070,0.761018,0.704778,0.761018,true
17450,43312,0.915665,0.554603,0.915665,true
17460,17663,0.966667,0.478384,0.966667,true
17470,49228,0.990349,0.683477,0.990349,true
17480,55027,0.957210,0.648221,0.957210,true
17490,47482,0.863115,0.824729,0.863115,true
17500,23845,0.963608,0.800711,0.963608,true
17510,28374,0.856269,0.650762,0.856269,true
17520,50994,0.959517,0.884276,0.959517,true
17530,60212,0.779190,0.639145,0.779190,true
17540,11448,0.946118,0.624360,0.946118,true
17550,437,0.822604,0.673956,0.822604,true
17560,11739,0.975434,0.681714,0.975434,true
17570,17374,0.874064,0.536119,0.874064,true
17580,3091,0.783190,0.707179,0.783190,true
17590,36246,0.818257,0.521199,0.818257,true
17600,8396,0.917059,0.425822,0.917059,true
17610,35960,0.905114,0.653495,0.905114,true
17620,45707,0.644293,0.659201,0.659201,false
17630,60095,0.997638,0.449333,0.997638,true
17640,56432,0.900436,0.497499,0.900436,true
17650,22832,0.745752,0.754042,0.754042,false
17660,32159,0.874975,0.672550,0.874975,true
17670,52862,0.974452,0.717117,0.974452,true
17680,28891,0.771911,0.695312,0.771911,true
17690,50325,0.961195,0.689927,0.961195,true
17700,8436,0.990270,0.962191,0.990270,true
17710,919,0.971615,0.611297,0.971615,true
17720,5633,0.992632,0.592432,0.992632,true
17730,19417,0.930455,0.739609,0.930455,true
17740,6216,0.749566,0.603094,0.749566,true
17750,40255,0.921266,0.467845,0.921266,true
17760,31159,0.877411,0.544754,0.877411,true
17770,15477,0.866035,0.684725,0.866035,true
17780,32598,0.976386,0.838960,0.976386,true
17790,6201,0.701653,0.752458,0.752458,false
17800,119,0.875678,0.608381,0.875678,true
17810,55556,0.958257,0.617992,0.958257,true
17820,49420,0.769216,0.529380,0.769216,true
17830,22449,0.947758,0.578852,0.947758,true
17840,10050,0.830128,0.502743,0.830128,true
17850,5592,0.928971,0.790623,0.928971,true
17860,14301,0.972783,0.873356,0.972783,true
17870,31739,0.935851,0.544992,0.935851,true
17880,37291,0.993989,0.791781,0.993989,true
17890,32928,0.937317,0.670472,0.937317,true
17900,46839,0.943516,0.730776,0.943516,true
17910,12168,0.957308,0.909124,0.957308,true
17920,48201,0.979718,0.584695,0.979718,true
17930,13404,0.997778,0.666105,0.997778,true
17940,5123,0.855177,0.617844,0.855177,true
17950,48934,0.817259,0.729526,0.817259,true
17960,7142,0.954424,0.674079,0.954424,true
17970,15769,0.949280,0.653010,0.949280,true
17980,7703,0.819292,0.801398,0.819292,true
17990,33373,0.928798,0.675149,0.928798,true
18000,11160,0.914958,0.589253,0.914958,true
18010,44526,0.903208,0.557643,0.903208,true
18020,23311,0.980400,0.504079,0.980400,true
18030,34003,0.985929,0.651770,0.985929,true
18040,12284,0.866863,0.819577,0.866863,true
18050,40884,0.983600,0.733843,0.983600,true
18060,53079,0.880540,0.628550,0.880540,true
18070,7462,0.808941,0.878471,0.878471,false
18080,30496,0.946791,0.679148,0.946791,true
18090,47457,0.913270,0.880111,0.913270,true
18100,52682,0.686949,0.572287,0.686949,true
18110,32205,0.937842,0.689360,0.937842,true
18120,22623,0.940599,0.692690,0.940599,true
18130,27441,0.964124,0.569250,0.964124,true
18140,40686,0.956893,0.500376,0.956893,true
18150,58412,0.999181,0.545640,0.999181,true
18160,6148,0.959431,0.565766,0.959431,true
18170,7873,0.951161,0.588392,0.951161,true
18180,42784,0.879868,0.612167,0.879868,true
18190,53567,0.929836,0.797168,0.929836,true
18200,13594,0.921064,0.603116,0.921064,true
18210,42372,0.914816,0.505086,0.914816,true
18220,29520,0.812550,0.580831,0.812550,true
18230,1699,0.846597,0.613476,0.846597,true
18240,31755,0.696623,0.640454,0.696623,true
18250,2515,0.988336,0.820478,0.988336,true
18260,1839,0.933454,0.507373,0.933454,true
18270,49690,0.958977,0.495758,0.958977,true
18280,50921,0.892941,0.770880,0.892941,true
18290,11818,0.977036,0.580943,0.977036,true
18300,15196,0.963436,0.619139,0.963436,true
18310,6873,0.881031,0.607956,0.881031,true
18320,3182,0.951033,0.675503,0.951033,true
18330,3806,0.950062,0.794060,0.950062,true
18340,19020,0.936981,0.742003,0.936981,true
18350,17188,0.972082,0.564258,0.972082,true
18360,4072,0.629284,0.491820,0.629284,true
18370,54830,0.824474,0.662133,0.824474,true
18380,4712,0.840595,0.789550,0.840595,true
18390,3570,0.914177,0.451781,0.914177,true
18400,21483,0.821419,0.391451,0.821419,true
18410,53853,0.947899,0.733100,0.947899,true
18420,15006,0.954006,0.787526,0.954006,true
18430,27551,0.882633,0.604304,0.882633,true
18440,12006,0.911234,0.739833,0.911234,true
18450,44202,0.987858,0.696776,0.987858,true
18460,23479,0.665268,0.472074,0.665268,true
18470,39683,0.935194,0.725165,0.935194,true
18480,49184,0.878679,0.748280,0.878679,true
18490,2505,0.785786,0.632786,0.785786,true
18500,49650,0.984142,0.795672,0.984142,true
18510,37328,0.980745,0.793918,0.980745,true
18520,15350,0.964704,0.538517,0.964704,true
18530,7532,0.888891,0.692132,0.888891,true
18540,6683,0.845687,0.693179,0.845687,true
18550,24317,0.978356,0.585938,0.978356,true
18560,46163,0.989344,0.680120,0.989344,true
18570,16131,0.960211,0.575463,0.960211,true
18580,1242,0.785253,0.555485,0.785253,true
18590,21045,0.976050,0.607798,0.976050,true
18600,9523,0.663040,0.634858,0.663040,true
18610,4521,0.935356,0.703202,0.935356,true
18620,38233,0.941323,0.699279,0.941323,true
18630,53544,0.943219,0.742837,0.943219,true
18640,54820,0.972582,0.618389,0.972582,true
18650,41778,0.832852,0.594381,0.832852,true
18660,27148,0.993108,0.563185,0.993108,true
18670,7528,0.904050,0.585557,0.904050,true
18680,13830,0.959823,0.636730,0.959823,true
18690,4713,0.991174,0.619509,0.991174,true
18700,14319,0.926565,0.531211,0.926565,true
18710,55705,0.891006,0.767544,0.891006,true
18720,48308,0.967275,0.634711,0.967275,true
18730,55162,0.993060,0.534472,0.993060,true
18740,45198,0.987892,0.542214,0.987892,true
18750,60374,0.909505,0.478755,0.909505,true
18760,2032,0.842750,0.611359,0.842750,true
18770,43739,0.840857,0.723763,0.840857,true
18780,2064,0.824892,0.352139,0.824892,true
18790,490,0.831460,0.571177,0.831460,true
18800,24499,0.807328,0.780253,0.807328,true
18810,249,0.915180,0.545146,0.915180,true
18820,12077,0.875785,0.605379,0.875785,true
18830,36439,0.976499,0.438651,0.976499,true
18840,59222,0.972419,0.447156,0.972419,true
18850,9618,0.860183,0.564251,0.860183,true
18860,9444,0.941593,0.673874,0.941593,true
18870,47938,0.974738,0.504237,0.974738,true
18880,27971,0.847804,0.433658,0.847804,true
18890,12407,0.994237,0.530519,0.994237,true
